candidate_id,job_title,years_experience,education_level,companies_worked,career_gaps,expected_salary,skill_score
0,Clerk,16,Bachelor,3,1,13726,86
1,Manager,9,PhD,4,0,13766,56
2,Manager,2,Diploma,4,3,7265,93
3,Engineer,5,Diploma,1,4,2381,57
4,Engineer,15,PhD,6,5,6498,45
5,Technician,22,Bachelor,2,1,8548,59
6,Clerk,14,PhD,3,1,5862,66
7,Clerk,17,PhD,4,3,13713,63
8,Manager,15,Diploma,4,0,2757,31
9,Engineer,15,Master,7,4,6705,55
10,Clerk,5,Bachelor,1,0,8345,48
11,Technician,1,PhD,5,1,3302,89
12,Manager,0,Diploma,9,0,10600,46
13,Engineer,8,Diploma,7,0,5114,33
14,Clerk,20,Bachelor,5,5,5144,87
15,Clerk,10,Master,5,5,12413,61
16,Analyst,1,Bachelor,6,3,11918,96
17,Engineer,11,PhD,9,1,13659,98
18,Clerk,21,Diploma,5,5,12005,39
19,Manager,5,Diploma,3,0,5331,84
20,Engineer,1,Diploma,9,3,10210,77
21,Engineer,10,Diploma,3,4,2543,86
22,Analyst,12,PhD,1,5,10593,64
23,Engineer,8,Master,2,2,2560,79
24,Engineer,23,Master,6,5,4130,63
25,Clerk,25,Diploma,5,0,8960,61
26,Technician,17,Bachelor,6,2,10344,80
27,Technician,15,Diploma,3,5,9350,97
28,Technician,23,Diploma,5,5,4572,55
29,Manager,12,Master,2,3,7658,46
30,Technician,2,Diploma,5,5,10743,70
31,Clerk,9,Master,6,2,7329,96
32,Technician,0,Diploma,3,2,13907,71
33,Manager,18,Diploma,8,2,9859,88
34,Manager,23,PhD,2,4,2919,47
35,Engineer,16,PhD,10,2,14844,61
36,Technician,23,Master,6,5,8064,81
37,Manager,14,Master,9,4,4749,33
38,Analyst,8,Bachelor,10,1,3847,53
39,Clerk,23,Diploma,2,4,13162,64
40,Engineer,6,Master,2,5,11358,97
41,Engineer,2,Bachelor,3,4,9079,32
42,Technician,11,PhD,5,1,5283,93
43,Analyst,13,PhD,6,4,5093,91
44,Engineer,8,PhD,4,0,14235,98
45,Clerk,16,PhD,2,3,12089,95
46,Technician,18,PhD,1,2,9511,30
47,Analyst,9,Diploma,9,0,6958,95
48,Manager,24,Master,9,3,10880,96
49,Clerk,19,Master,8,2,4145,94
50,Clerk,18,Bachelor,9,1,6140,31
51,Clerk,23,Diploma,6,3,8588,66
52,Engineer,2,Diploma,1,3,6405,89
53,Manager,25,Master,8,2,8364,88
54,Engineer,15,Master,3,3,4429,32
55,Analyst,8,Master,3,4,14880,66
56,Clerk,8,Master,7,5,6483,85
57,Manager,24,PhD,4,5,10050,81
58,Clerk,2,Diploma,3,1,4451,59
59,Engineer,3,Master,3,3,14692,42
60,Clerk,20,Bachelor,1,0,9007,36
61,Technician,6,PhD,6,0,12675,43
62,Technician,21,PhD,2,2,13215,65
63,Analyst,15,Diploma,4,5,12555,41
64,Clerk,3,PhD,5,5,10320,93
65,Clerk,3,PhD,2,1,8330,55
66,Analyst,16,Master,7,5,10793,66
67,Clerk,20,Bachelor,10,2,9962,43
68,Engineer,24,Master,5,0,10856,86
69,Manager,24,Diploma,4,4,6498,64
70,Analyst,13,Bachelor,3,2,5199,82
71,Technician,20,Diploma,9,4,10345,49
72,Clerk,8,Master,8,5,7010,64
73,Clerk,6,PhD,6,4,9709,60
74,Manager,5,Bachelor,10,5,9391,98
75,Analyst,1,Master,9,5,4212,57
76,Manager,19,PhD,8,2,3939,46
77,Analyst,22,Master,4,0,12408,98
78,Engineer,18,Bachelor,2,1,11228,55
79,Technician,18,Master,7,2,2069,32
80,Manager,19,Bachelor,2,5,5678,65
81,Manager,8,PhD,1,0,7404,74
82,Analyst,3,Master,3,5,11404,35
83,Manager,2,Diploma,2,2,7194,61
84,Manager,16,Diploma,6,0,3283,47
85,Clerk,11,Bachelor,2,5,7387,65
86,Engineer,16,Master,2,2,14959,46
87,Technician,8,PhD,2,5,11447,97
88,Clerk,18,PhD,9,3,6933,58
89,Manager,17,Bachelor,1,4,10331,44
90,Analyst,7,Bachelor,7,2,10944,32
91,Manager,17,Master,9,2,9753,46
92,Clerk,22,Diploma,6,0,12722,99
93,Manager,17,Diploma,10,2,9298,46
94,Analyst,2,Bachelor,4,3,14572,72
95,Manager,9,Bachelor,3,3,9204,81
96,Engineer,19,Bachelor,5,2,12926,31
97,Technician,0,Bachelor,7,5,11206,42
98,Clerk,0,PhD,10,5,8918,65
99,Manager,13,PhD,10,3,2872,42
